synset:finding.n.02,synset:law.n.01	1	-hypernym-synset_domain_topic_of-,1.0 -#- -hypernym-_hypernym-synset_domain_topic_of-,1.0 -#- -_hypernym-synset_domain_topic_of-,1.0 -#- -_hypernym-synset_domain_topic_of-_synset_domain_topic_of-hypernym-,0.044444444444444446 -#- -_hypernym-synset_domain_topic_of-_synset_domain_topic_of-_derivationally_related_form-,0.05263157894736842
synset:object.n.03,synset:grammar.n.01	1	-hypernym-synset_domain_topic_of-,1.0
synset:imbalance.n.02,synset:maths.n.01	1	-hypernym-_hypernym-synset_domain_topic_of-,1.0
synset:field_marshal.n.01,synset:war_machine.n.01	1	-hypernym-synset_domain_topic_of-,1.0 -#- -hypernym-synset_domain_topic_of-_synset_domain_topic_of-hypernym-,0.025
synset:total.v.01,synset:make.v.32	-1	-_hypernym-,0.4633333333333333 -#- -_derivationally_related_form-derivationally_related_form-_hypernym-,0.2361111111111111 -#- -_hypernym-synset_domain_topic_of-_synset_domain_topic_of-,0.12 -#- -_hypernym-synset_domain_topic_of-_synset_domain_topic_of-hypernym-_hypernym-,0.13636363636363635 -#- -derivationally_related_form-derivationally_related_form-_hypernym-,0.25333333333333335 -#- -_hypernym-hypernym-_hypernym-,0.4866666666666667 -#- -hypernym-_hypernym-_hypernym-,0.03125
synset:carry.n.01,synset:address.v.10	-1	-derivationally_related_form-synset_domain_topic_of-_synset_domain_topic_of-,0.125 -#- -_derivationally_related_form-synset_domain_topic_of-_synset_domain_topic_of-,0.1
synset:pitch.n.02,synset:baseball_game.n.01	1	-_hypernym-synset_domain_topic_of-,1.0
synset:solvate.v.02,synset:change.v.02	-1	-synset_domain_topic_of-_synset_domain_topic_of-hypernym-,0.0392156862745098 -#- -hypernym-hypernym-,1.0
synset:steer.v.01,synset:seafaring.n.01	-1	-_hypernym-synset_domain_topic_of-,0.41379310344827586
synset:signal_caller.n.01,synset:back.n.04	-1	-hypernym-,1.0 -#- -synset_domain_topic_of-_synset_domain_topic_of-,0.03546099290780142 -#- -synset_domain_topic_of-_synset_domain_topic_of-hypernym-,0.03296703296703297 -#- -hypernym-synset_domain_topic_of-_synset_domain_topic_of-,0.041666666666666664 -#- -derivationally_related_form-synset_domain_topic_of-_synset_domain_topic_of-,0.01098901098901099 -#- -_derivationally_related_form-synset_domain_topic_of-_synset_domain_topic_of-,0.023255813953488372 -#- -hypernym-_hypernym-hypernym-,1.0 -#- -synset_domain_topic_of-_synset_domain_topic_of-hypernym-_hypernym-,0.037037037037037035 -#- -hypernym-synset_domain_topic_of-_synset_domain_topic_of-hypernym-,0.0975609756097561 -#- -hypernym-_hypernym-synset_domain_topic_of-_synset_domain_topic_of-,0.020618556701030927 -#- -_derivationally_related_form-derivationally_related_form-hypernym-,0.22727272727272727 -#- -derivationally_related_form-derivationally_related_form-hypernym-,0.22340425531914893
synset:fly_ball.n.01,synset:baseball_game.n.01	1	-hypernym-_hypernym-synset_domain_topic_of-,1.0 -#- -_hypernym-synset_domain_topic_of-,1.0 -#- -_hypernym-synset_domain_topic_of-_synset_domain_topic_of-_hypernym-,0.1111111111111111
