synset:information_processing_system.n.01,synset:outage.n.02	-1	-_synset_domain_topic_of-,0.08823529411764706
synset:year.n.03,synset:time_of_year.n.01	1	-hypernym-_hypernym-,0.02666666666666667
synset:persia.n.02,synset:meshed.n.01	1	-has_part-instance_hypernym-_instance_hypernym-,0.030303030303030304
synset:european_union.n.01,synset:republic_of_bulgaria.n.01	-1	-member_meronym-_member_meronym-member_meronym-,0.015384615384615385
synset:parkway.n.01,synset:route.n.02	-1	-hypernym-,1.0 -#- -hypernym-derivationally_related_form-derivationally_related_form-,0.44761904761904764 -#- -hypernym-_derivationally_related_form-derivationally_related_form-,0.5981308411214953 -#- -hypernym-derivationally_related_form-_derivationally_related_form-,0.5514018691588785 -#- -hypernym-hypernym-_hypernym-,0.17777777777777778 -#- -hypernym-_hypernym-hypernym-,1.0
synset:republic_of_india.n.01,synset:west_pakistan.n.01	-1	-member_meronym-hypernym-_hypernym-_member_meronym-,0.019230769230769232 -#- -has_part-_has_part-,0.09375
synset:bedstead.n.01,synset:mattress.n.01	-1	-_has_part-has_part-,0.53 -#- -_has_part-has_part-_has_part-has_part-,0.34
synset:glove.n.02,synset:helmet.n.01	-1	-_hypernym-_has_part-has_part-hypernym-,0.09523809523809523
synset:republic_of_peru.n.01,synset:andes.n.01	1	-_member_meronym-member_meronym-has_part-,0.24242424242424243
synset:suit_of_armour.n.01,synset:brassard.n.01	1	-has_part-hypernym-_hypernym-,0.0625
synset:drill.v.01,synset:chuck.n.03	-1	-derivationally_related_form-has_part-,0.5365853658536586 -#- -_derivationally_related_form-has_part-,0.5789473684210527
synset:tap_dancing.n.01,synset:terpsichore.n.02	-1	-hypernym-hypernym-,1.0
synset:european_union.n.01,synset:portuguese_republic.n.01	-1	-member_meronym-_member_meronym-member_meronym-,0.09230769230769231 -#- -member_meronym-,0.05660377358490566
synset:sailing_vessel.n.01,synset:helm.n.01	1	-hypernym-_hypernym-has_part-,0.07692307692307693
synset:edible_bean.n.01,synset:garbanzo.n.02	-1	-hypernym-_hypernym-,0.25806451612903225 -#- -hypernym-_hypernym-hypernym-_hypernym-,0.05555555555555555
synset:time_of_year.n.01,synset:time_of_year.n.01	-1	-_hypernym-_has_part-has_part-hypernym-,0.6470588235294118 -#- -_hypernym-hypernym-,1.0 -#- -hypernym-_hypernym-hypernym-_hypernym-,0.038461538461538464
synset:sailing_boat.n.01,synset:sailing_boat.n.01	-1	-hypernym-_hypernym-,1.0 -#- -hypernym-_hypernym-hypernym-_hypernym-,1.0 -#- -hypernym-hypernym-_hypernym-_hypernym-,0.0975609756097561
synset:samoan_islands.n.01,synset:samoan_islands.n.01	-1	-instance_hypernym-_instance_hypernym-,0.03 -#- -instance_hypernym-_instance_hypernym-instance_hypernym-_instance_hypernym-,0.04
