synset:negroid.n.01,synset:oriental_person.n.01	-1	-_hypernym-_member_of_domain_usage-member_of_domain_usage-,0.05 -#- -_member_of_domain_usage-member_of_domain_usage-,0.03333333333333333
synset:west_pakistan.n.01,synset:utn.n.01	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.043478260869565216
synset:ov.n.01,synset:terrorist_act.n.01	-1	-instance_hypernym-_instance_hypernym-synset_domain_topic_of-,1.0 -#- -synset_domain_topic_of-,1.0
synset:porter.n.02,synset:mere.n.01	-1	-_hypernym-_member_of_domain_region-member_of_domain_region-,0.01
synset:west_pakistan.n.01,synset:let.n.01	1	-member_of_domain_region-instance_hypernym-_instance_hypernym-,0.045454545454545456
synset:antiquity.n.01,synset:colosseum.n.01	-1	-_synset_domain_topic_of-_member_of_domain_region-has_part-,0.10204081632653061
synset:madras.n.02,synset:privy_council.n.01	-1	-_has_part-member_of_domain_region-hypernym-_hypernym-,0.044444444444444446
synset:epirus.n.01,synset:hellenic_republic.n.01	-1	-_has_part-has_part-instance_hypernym-_instance_hypernym-_has_part-,0.10810810810810811 -#- -_has_part-,0.553921568627451
synset:hanoi.n.01,synset:vietnam_war.n.01	-1	-_has_part-member_of_domain_region-,0.5133333333333333 -#- -_has_part-member_of_domain_region-instance_hypernym-_instance_hypernym-,0.08
synset:mesopotamia.n.01,synset:babylon.n.01	1	-has_part-,0.3466666666666667 -#- -has_part-_has_part-has_part-,0.1875 -#- -_has_part-has_part-_has_part-has_part-,0.016129032258064516
synset:french_republic.n.01,synset:bastille.n.01	1	-has_part-has_part-instance_hypernym-_instance_hypernym-,0.25
synset:urban_center.n.01,synset:republic_of_india.n.01	-1	-_instance_hypernym-instance_hypernym-_instance_hypernym-_has_part-,0.031746031746031744
synset:tx.n.01,synset:san_antonio.n.01	-1	-has_part-,0.029535864978902954 -#- -has_part-_has_part-has_part-,0.028037383177570093
synset:near_east.n.01,synset:zion.n.02	-1	-has_part-,0.078125 -#- -has_part-instance_hypernym-_instance_hypernym-,0.05263157894736842 -#- -has_part-_has_part-has_part-,0.09302325581395349
synset:piemonte.n.01,synset:rome.n.01	-1	-_has_part-has_part-,0.013333333333333334 -#- -_has_part-has_part-_has_part-has_part-,0.02247191011235955
synset:railway_car.n.01,synset:pelican_crossing.n.01	-1	-_hypernym-_member_of_domain_region-member_of_domain_region-,0.021739130434782608
synset:hellenic_republic.n.01,synset:pean.n.01	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.02631578947368421
synset:islamic_state_of_afghanistan.n.01,synset:qaeda.n.01	1	-has_part-_has_part-member_of_domain_region-,0.07692307692307693
synset:lateran.n.01,synset:tribune.n.01	-1	-_has_part-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.06060606060606061 -#- -_has_part-member_of_domain_region-,0.08
synset:skiffle.n.01,synset:colloquialism.n.01	-1	-_member_of_domain_region-member_of_domain_region-_member_of_domain_usage-,0.375
synset:urban_center.n.01,synset:red_china.n.01	-1	-_instance_hypernym-instance_hypernym-_instance_hypernym-_has_part-,0.047619047619047616
synset:rome.n.01,synset:circus.n.04	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.038461538461538464
synset:volunteer_state.n.01,synset:tx.n.01	-1	-_member_meronym-member_meronym-,0.06569343065693431 -#- -_has_part-has_part-,0.007936507936507936 -#- -has_part-instance_hypernym-_instance_hypernym-_has_part-,0.013513513513513514 -#- -has_part-instance_hypernym-_instance_hypernym-instance_hypernym-_instance_hypernym-_has_part-,0.02040816326530612 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-_has_part-,0.14285714285714285 -#- -_has_part-has_part-_has_part-has_part-,0.014492753623188406
synset:gladiator.n.01,synset:antiquity.n.01	-1	-synset_domain_topic_of-,1.0
synset:simulacrum.n.02,synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	-1	-_hypernym-_member_of_domain_region-,1.0
synset:palestine.n.01,synset:pij.n.01	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-instance_hypernym-_instance_hypernym-,0.07692307692307693 -#- -member_of_domain_region-instance_hypernym-_instance_hypernym-,0.04
synset:italy.n.01,synset:calabria.n.01	1	-has_part-,0.02654867256637168 -#- -has_part-_has_part-has_part-,0.019801980198019802
synset:justiciary.n.01,synset:overall.n.02	-1	-_member_of_domain_region-member_of_domain_region-,0.027777777777777776 -#- -_member_of_domain_region-member_of_domain_region-_member_of_domain_region-member_of_domain_region-,0.011111111111111112
synset:rome.n.01,synset:catacomb.n.01	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.07692307692307693
synset:lebanon.n.01,synset:psf.n.01	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-instance_hypernym-_instance_hypernym-,0.045454545454545456 -#- -member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.03333333333333333 -#- -member_of_domain_region-instance_hypernym-_instance_hypernym-,0.05405405405405406 -#- -member_of_domain_region-instance_hypernym-_instance_hypernym-synset_domain_topic_of-_synset_domain_topic_of-,0.02857142857142857
synset:rome.n.01,synset:gladiator.n.01	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.038461538461538464
synset:coin.n.01,synset:roster.n.01	-1	-_hypernym-_member_of_domain_region-member_of_domain_region-hypernym-,0.02
synset:hyderabad.n.01,synset:madrasah.n.01	-1	-_has_part-member_of_domain_region-,0.08
synset:river.n.01,synset:germany.n.01	-1	-_instance_hypernym-instance_hypernym-_instance_hypernym-_has_part-,0.09836065573770492
synset:laos.n.01,synset:dakoity.n.01	-1	-has_part-_has_part-member_of_domain_region-,0.20967741935483872
synset:switzerland.n.01,synset:europe.n.01	-1	-_has_part-has_part-instance_hypernym-_instance_hypernym-_has_part-,0.25 -#- -_has_part-,1.0
synset:sumatra.n.01,synset:ruf.n.01	-1	-_has_part-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.0136986301369863 -#- -_has_part-member_of_domain_region-instance_hypernym-_instance_hypernym-,0.015151515151515152
synset:cabinet.n.02,synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	-1	-_hypernym-_member_of_domain_region-,1.0
synset:hellene.n.01,synset:laconia.n.01	-1	-_member_meronym-has_part-,0.05454545454545454 -#- -derivationally_related_form-_derivationally_related_form-_member_of_domain_region-has_part-,0.021739130434782608
synset:nh.n.01,synset:water_spaniel.n.01	-1	-_has_part-member_of_domain_region-,0.024
synset:farm.n.01,synset:van.n.03	-1	-_hypernym-_member_of_domain_region-member_of_domain_region-,0.008928571428571428
synset:kurdistan.n.01,synset:edirne.n.01	-1	-_has_part-has_part-,0.031746031746031744 -#- -_has_part-has_part-_has_part-has_part-,0.03125
synset:ussr.n.01,synset:ussr.n.01	-1	-_has_part-has_part-,0.13333333333333333 -#- -instance_hypernym-_instance_hypernym-,0.02666666666666667 -#- -member_of_domain_region-_member_of_domain_region-,1.0 -#- -has_part-instance_hypernym-_instance_hypernym-_has_part-,0.03773584905660377 -#- -has_part-_has_part-,0.4375 -#- -_has_part-has_part-_has_part-has_part-,0.18085106382978725 -#- -has_part-instance_hypernym-_instance_hypernym-instance_hypernym-_instance_hypernym-_has_part-,0.03333333333333333 -#- -has_part-_has_part-has_part-,0.010752688172043012 -#- -instance_hypernym-_instance_hypernym-_has_part-has_part-,0.012195121951219513
synset:welfare.n.01,synset:canada.n.01	-1	-_hypernym-_member_of_domain_region-,1.0
synset:nurnberg.n.01,synset:terrorist_organization.n.01	-1	-_has_part-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.08333333333333333
synset:hellenic_republic.n.01,synset:bacchus.n.01	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.02631578947368421
synset:broadcasting.n.02,synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	-1	-_hypernym-_member_of_domain_region-,1.0
synset:room.n.01,synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	-1	-_hypernym-_member_of_domain_region-,1.0
synset:vaticinator.n.01,synset:warrior.n.01	-1	-_hypernym-_member_of_domain_region-member_of_domain_region-hypernym-,0.09090909090909091
synset:italy.n.01,synset:lucania.n.01	1	-has_part-,0.03982300884955752 -#- -has_part-_has_part-has_part-,0.039603960396039604
synset:republic_of_chile.n.01,synset:national_liberation_army.n.01	-1	-has_part-_has_part-member_of_domain_region-,0.25
synset:republic_of_peru.n.01,synset:tupac_amaru_revolutionary_movement.n.01	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.0196078431372549 -#- -member_of_domain_region-instance_hypernym-_instance_hypernym-synset_domain_topic_of-_synset_domain_topic_of-,0.027777777777777776
synset:republic_of_peru.n.01,synset:republic_of_colombia.n.01	-1	-_member_meronym-member_meronym-,0.05217391304347826 -#- -has_part-_has_part-,0.09090909090909091
synset:wv.n.01,synset:ms.n.02	-1	-_has_part-has_part-,0.02 -#- -_has_part-has_part-_has_part-has_part-,0.013888888888888888 -#- -has_part-instance_hypernym-_instance_hypernym-instance_hypernym-_instance_hypernym-_has_part-,0.019230769230769232
synset:israeli.n.01,synset:terrorist_act.n.01	-1	-_member_meronym-member_of_domain_region-synset_domain_topic_of-,1.0
synset:temple.n.01,synset:antiquity.n.01	-1	-_hypernym-_member_of_domain_region-member_of_domain_region-synset_domain_topic_of-,0.8846153846153846
synset:missouri_river.n.01,synset:usa.n.01	-1	-_has_part-has_part-instance_hypernym-_instance_hypernym-_has_part-,0.1111111111111111 -#- -instance_hypernym-_instance_hypernym-_has_part-,0.08771929824561403 -#- -instance_hypernym-_instance_hypernym-instance_hypernym-_instance_hypernym-_has_part-,0.12698412698412698 -#- -_has_part-,1.0
synset:manchuria.n.01,synset:weight_unit.n.02	-1	-_has_part-member_of_domain_region-hypernym-,0.07317073170731707
synset:hinduism.n.01,synset:hinduism.n.01	-1	-hypernym-_hypernym-,0.13725490196078433 -#- -_member_of_domain_region-member_of_domain_region-,0.6875 -#- -member_meronym-_member_meronym-,1.0 -#- -_member_of_domain_region-member_of_domain_region-_member_of_domain_region-member_of_domain_region-,0.23333333333333334 -#- -_member_of_domain_region-member_of_domain_region-instance_hypernym-_instance_hypernym-_member_of_domain_region-member_of_domain_region-,0.16666666666666666
synset:treatment.n.01,synset:supreme_truth.n.01	-1	-_hypernym-_member_of_domain_region-member_of_domain_region-,0.038461538461538464
synset:northern_ireland.n.01,synset:rhd.n.01	1	-member_of_domain_region-instance_hypernym-_instance_hypernym-,0.043478260869565216
synset:old_colony.n.01,synset:worcester.n.02	-1	-has_part-,0.09433962264150944 -#- -has_part-_has_part-has_part-,0.08333333333333333
synset:lebanon.n.01,synset:revolutionary_justice_organization.n.01	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-instance_hypernym-_instance_hypernym-,0.045454545454545456
synset:rome.n.01,synset:centurion.n.01	1	-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.038461538461538464
synset:usa.n.01,synset:french_republic.n.01	-1	-_member_meronym-member_meronym-,0.027210884353741496 -#- -has_part-instance_hypernym-_instance_hypernym-_has_part-,0.038461538461538464 -#- -member_of_domain_region-_member_of_domain_region-,0.10714285714285714
synset:yedo.n.01,synset:nipponese.n.01	-1	-_has_part-member_meronym-,1.0
synset:suffragist.n.01,synset:clawback.n.01	-1	-_hypernym-_member_of_domain_region-member_of_domain_region-,0.008771929824561403
synset:republic_of_ireland.n.01,synset:banshie.n.01	-1	-_has_part-member_of_domain_region-,0.04310344827586207 -#- -_has_part-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-,0.03571428571428571
synset:jordan.n.02,synset:fatah.n.01	1	-has_part-_has_part-member_of_domain_region-,0.043478260869565216
synset:repast.n.01,synset:united_kingdom_of_great_britain_and_northern_ireland.n.01	-1	-_hypernym-_member_of_domain_region-,1.0
