|film|film|runtime.|film|film_cut|film_release_region	|location|location
|sports|sports_team|sport	|sports|sport
|film|actor|film.|film|performance|special_performance_type	|film|special_film_performance_type
|film|film_distributor|films_distributed.|film|film_film_distributor_relationship|film	|film|film
|people|ethnicity|people	|people|person
|location|statistical_region|rent50_2.|measurement_unit|dated_money_value|currency	|finance|currency
|tv|tv_producer|programs_produced.|tv|tv_producer_term|program	|tv|tv_program
|education|university|international_tuition.|measurement_unit|dated_money_value|currency	|finance|currency
|sports|sports_team_location|teams	|sports|sports_team
|olympics|olympic_sport|athletes.|olympics|olympic_athlete_affiliation|olympics	|olympics|olympic_games
|base|localfood|seasonal_month|produce_available.|base|localfood|produce_availability|seasonal_months	|base|localfood|seasonal_month
|location|statistical_region|gdp_real.|measurement_unit|adjusted_money_value|adjustment_currency	|finance|currency
|music|group_member|membership.|music|group_membership|role	|music|performance_role
|education|university|local_tuition.|measurement_unit|dated_money_value|currency	|finance|currency
|business|business_operation|assets.|measurement_unit|dated_money_value|currency	|finance|currency
|people|person|profession	|people|profession
|award|award_nominee|award_nominations.|award|award_nomination|award	|award|award_category
|travel|travel_destination|climate.|travel|travel_destination_monthly_climate|month	|time|month
|award|award_nominated_work|award_nominations.|award|award_nomination|nominated_for	|award|award_nominated_work
|award|award_winner|awards_won.|award|award_honor|award_winner	|award|award_winner
|location|country|second_level_divisions	|location|administrative_division
|education|educational_institution|school_type	|education|school_category
|film|film|executive_produced_by	|film|producer
|organization|organization_founder|organizations_founded	|organization|organization
|award|award_category|disciplines_or_subjects	|award|award_discipline
|government|legislative_session|members.|government|government_position_held|legislative_sessions	|government|legislative_session
|soccer|football_team|current_roster.|sports|sports_team_roster|position	|sports|sports_position
|film|film|featured_film_locations	|film|film_location
|olympics|olympic_sport|athletes.|olympics|olympic_athlete_affiliation|country	|olympics|olympic_participating_country
|film|film|country	|location|country
|olympics|olympic_participating_country|medals_won.|olympics|olympic_medal_honor|medal	|olympics|olympic_medal
|base|popstra|celebrity|friendship.|base|popstra|friendship|participant	|base|popstra|celebrity
|film|film|written_by	|film|writer
|tv|tv_program|program_creator	|tv|tv_program_creator
|military|military_combatant|military_conflicts.|military|military_combatant_group|combatants	|military|military_combatant
|film|film|dubbing_performances.|film|dubbing_performance|actor	|film|actor
|film|film|film_festivals	|film|film_festival_event
|film|film_set_designer|film_sets_designed	|film|film
|music|instrument|instrumentalists	|music|group_member
|location|country|form_of_government	|government|form_of_government
|american_football|football_team|current_roster.|sports|sports_team_roster|position	|sports|sports_position
|business|job_title|people_with_this_title.|business|employment_tenure|company	|business|employer
|tv|tv_program|genre	|tv|tv_genre
|award|hall_of_fame|inductees.|award|hall_of_fame_induction|inductee	|award|hall_of_fame_inductee
|people|person|languages	|language|human_language
|tv|tv_producer|programs_produced.|tv|tv_producer_term|producer_type	|tv|tv_producer_type
|ice_hockey|hockey_team|current_roster.|sports|sports_team_roster|position	|sports|sports_position
|base|eating|practicer_of_diet|diet	|base|eating|diets
|location|us_county|county_seat	|location|citytown
|education|educational_degree|people_with_this_degree.|education|education|major_field_of_study	|education|field_of_study
|base|popstra|celebrity|dated.|base|popstra|dated|participant	|base|popstra|celebrity
|tv|tv_personality|tv_regular_appearances.|tv|tv_regular_personal_appearance|program	|tv|tv_program
|music|artist|origin	|location|location
|organization|organization|headquarters.|location|mailing_address|country	|location|country
|user|ktrueman|default_domain|international_organization|member_states	|location|country
|award|award_category|category_of	|award|award
|music|artist|contribution.|music|recording_contribution|performance_role	|music|performance_role
|celebrities|celebrity|celebrity_friends.|celebrities|friendship|friend	|celebrities|celebrity
|base|schemastaging|organization_extra|phone_number.|base|schemastaging|phone_sandbox|service_language	|language|human_language
|base|x2010fifaworldcupsouthafrica|world_cup_squad|current_world_cup_squad.|base|x2010fifaworldcupsouthafrica|current_world_cup_squad|current_club	|soccer|football_team
|olympics|olympic_games|participating_countries	|olympics|olympic_participating_country
|film|director|film	|film|film
|organization|organization|place_founded	|location|location
|location|location|contains	|location|location
|soccer|football_team|current_roster.|soccer|football_roster_position|position	|soccer|football_position
|people|person|places_lived.|people|place_lived|location	|location|location
|food|food|nutrients.|food|nutrition_fact|nutrient	|food|nutrient
|base|popstra|celebrity|canoodled.|base|popstra|canoodled|participant	|base|popstra|celebrity
|sports|sports_position|players.|sports|sports_team_roster|position	|sports|sports_position
|sports|sports_league_draft|picks.|sports|sports_league_draft_pick|school	|education|educational_institution
|people|deceased_person|place_of_burial	|people|place_of_interment
|location|hud_county_place|place	|location|location
|music|instrument|family	|music|instrument
|soccer|football_player|current_team.|sports|sports_team_roster|team	|sports|sports_team
|base|saturdaynightlive|snl_cast_member|seasons.|base|saturdaynightlive|snl_season_tenure|cast_members	|base|saturdaynightlive|snl_cast_member
|education|educational_degree|people_with_this_degree.|education|education|student	|people|person
|base|aareas|schema|administrative_area|administrative_area_type	|base|aareas|schema|administrative_area_type
|award|award_winning_work|awards_won.|award|award_honor|award_winner	|award|award_winner
|music|performance_role|regular_performances.|music|group_membership|role	|music|performance_role
|user|tsegaran|random|taxonomy_subject|entry.|user|tsegaran|random|taxonomy_entry|taxonomy	|user|tsegaran|random|subject_taxonomy
|film|film|genre	|film|film_genre
|film|film_subject|films	|film|film
|sports|professional_sports_team|draft_picks.|sports|sports_league_draft_pick|school	|education|educational_institution
|olympics|olympic_participating_country|athletes.|olympics|olympic_athlete_affiliation|olympics	|olympics|olympic_games
|sports|sports_position|players.|sports|sports_team_roster|team	|sports|sports_team
|music|performance_role|guest_performances.|music|recording_contribution|performance_role	|music|performance_role
|film|film|edited_by	|film|editor
|dataworld|gardening_hint|split_to	|type|object
|olympics|olympic_games|medals_awarded.|olympics|olympic_medal_honor|medal	|olympics|olympic_medal
|location|hud_foreclosure_area|estimated_number_of_mortgages.|measurement_unit|dated_integer|source	|dataworld|information_source
|people|person|spouse_s.|people|marriage|type_of_union	|people|marriage_union_type
|travel|travel_destination|how_to_get_here.|travel|transportation|mode_of_transportation	|travel|transportation_mode
|time|event|instance_of_recurring_event	|time|recurring_event
|base|schemastaging|person_extra|net_worth.|measurement_unit|dated_money_value|currency	|finance|currency
|education|university|fraternities_and_sororities	|education|fraternity_sorority
|award|award_winning_work|awards_won.|award|award_honor|honored_for	|award|award_winning_work
|location|location|partially_contains	|location|location
|people|deceased_person|place_of_death	|location|location
|education|educational_institution_campus|educational_institution	|education|educational_institution
|base|popstra|celebrity|breakup.|base|popstra|breakup|participant	|base|popstra|celebrity
|location|location|adjoin_s.|location|adjoining_relationship|adjoins	|location|location
|government|government_office_category|officeholders.|government|government_position_held|jurisdiction_of_office	|government|governmental_jurisdiction
|film|film|personal_appearances.|film|personal_film_appearance|person	|film|person_or_entity_appearing_in_film
|film|film|film_format	|film|film_format
|people|cause_of_death|people	|people|deceased_person
|education|university|domestic_tuition.|measurement_unit|dated_money_value|currency	|finance|currency
|government|governmental_body|members.|government|government_position_held|legislative_sessions	|government|legislative_session
|film|actor|dubbing_performances.|film|dubbing_performance|language	|language|human_language
|award|award_category|winners.|award|award_honor|ceremony	|award|award_ceremony
|music|artist|track_contributions.|music|track_contribution|role	|music|performance_role
|location|capital_of_administrative_division|capital_of.|location|administrative_division_capital_relationship|administrative_division	|location|administrative_division
|music|performance_role|regular_performances.|music|group_membership|group	|music|musical_group
|film|actor|film.|film|performance|film	|film|film
|base|biblioness|bibs_location|country	|location|location
|award|award_nominee|award_nominations.|award|award_nomination|award_nominee	|award|award_nominee
|base|culturalevent|event|entity_involved	|common|topic
|location|statistical_region|gdp_nominal.|measurement_unit|dated_money_value|currency	|finance|currency
|organization|organization|headquarters.|location|mailing_address|state_province_region	|location|administrative_division
|award|award_category|nominees.|award|award_nomination|nominated_for	|award|award_nominated_work
|people|person|religion	|religion|religion
|military|military_conflict|combatants.|military|military_combatant_group|combatants	|military|military_combatant
|film|film|costume_design_by	|film|film_costumer_designer
|base|biblioness|bibs_location|state	|location|location
|people|person|spouse_s.|people|marriage|location_of_ceremony	|location|location
|base|petbreeds|city_with_dogs|top_breeds.|base|petbreeds|dog_city_relationship|dog_breed	|base|petbreeds|dog_breed
|tv|tv_program|regular_cast.|tv|regular_tv_appearance|actor	|tv|tv_actor
|government|politician|government_positions_held.|government|government_position_held|jurisdiction_of_office	|government|governmental_jurisdiction
|music|group_member|membership.|music|group_membership|group	|music|musical_group
|organization|endowed_organization|endowment.|measurement_unit|dated_money_value|currency	|finance|currency
|organization|organization|child.|organization|organization_relationship|child	|organization|organization
|film|film|prequel	|film|film
|sports|sports_team|roster.|american_football|football_historical_roster_position|position_s	|american_football|position
|base|schemastaging|organization_extra|phone_number.|base|schemastaging|phone_sandbox|contact_category	|organization|contact_category
|base|popstra|location|vacationers.|base|popstra|vacation_choice|vacationer	|base|popstra|celebrity
|people|person|employment_history.|business|employment_tenure|company	|business|employer
|people|person|spouse_s.|people|marriage|spouse	|people|person
|location|administrative_division|country	|location|country
|olympics|olympic_participating_country|medals_won.|olympics|olympic_medal_honor|olympics	|olympics|olympic_games
|people|person|sibling_s.|people|sibling_relationship|sibling	|people|person
|award|award_ceremony|awards_presented.|award|award_honor|honored_for	|award|award_winning_work
|sports|professional_sports_team|draft_picks.|sports|sports_league_draft_pick|draft	|sports|sports_league_draft
