synset:white_river.n.01,synset:river.n.01	1	-_has_part-has_part-instance_hypernym-,0.4329896907216495 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-instance_hypernym-,0.5846153846153846 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.4230769230769231
synset:nineveh.n.01,synset:urban_center.n.01	1	-_has_part-has_part-instance_hypernym-,0.8461538461538461 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-instance_hypernym-,0.8857142857142857 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.6521739130434783
synset:smyrna.n.01,synset:port.n.01	1	-_has_part-has_part-instance_hypernym-,0.043478260869565216 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-instance_hypernym-,0.06521739130434782 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.05263157894736842
synset:people's_republican_army.n.01,synset:terrorist_organization.n.01	1	-synset_domain_topic_of-_synset_domain_topic_of-,0.03870967741935484 -#- -synset_domain_topic_of-_synset_domain_topic_of-instance_hypernym-,1.0 -#- -_member_of_domain_region-member_of_domain_region-instance_hypernym-,1.0 -#- -_member_of_domain_region-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-instance_hypernym-,0.9591836734693877
synset:espoo.n.01,synset:urban_center.n.01	1	-_has_part-has_part-instance_hypernym-,0.16666666666666666 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-instance_hypernym-,0.425531914893617 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.24489795918367346
synset:portuguese_republic.n.01,synset:port.n.01	-1	-has_part-instance_hypernym-,0.5273972602739726
synset:golden_state.n.01,synset:urban_center.n.01	-1	-has_part-instance_hypernym-,0.7478260869565218 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.1
synset:composer.n.01,synset:songwriter.n.01	-1	-_hypernym-,1.0 -#- -_hypernym-_instance_hypernym-instance_hypernym-,0.8230088495575221 -#- -derivationally_related_form-_derivationally_related_form-_hypernym-,0.3055555555555556 -#- -_hypernym-hypernym-_hypernym-,1.0
synset:spotsylvania.n.01,synset:village.n.02	1	-_has_part-has_part-instance_hypernym-,0.14285714285714285 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.1044776119402985
synset:bulawayo.n.01,synset:urban_center.n.01	1	-_has_part-has_part-_has_part-has_part-instance_hypernym-,0.030303030303030304
synset:wilno.n.01,synset:spain.n.01	-1	-_has_part-has_part-instance_hypernym-_instance_hypernym-_has_part-,0.023255813953488372
synset:sierra_nevada_mountains.n.01,synset:range_of_mountains.n.01	1	-has_part-instance_hypernym-_has_part-,1.0
synset:nubian_desert.n.01,synset:desert.n.01	1	-_has_part-has_part-instance_hypernym-,0.43956043956043955 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-instance_hypernym-,0.5 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.3191489361702128 -#- -_has_part-instance_hypernym-,1.0
synset:thespian.n.01,synset:vocalizer.n.02	-1	-_hypernym-_instance_hypernym-instance_hypernym-,0.06666666666666667
synset:duluth.n.01,synset:urban_center.n.01	1	-_has_part-has_part-instance_hypernym-,0.25675675675675674 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-instance_hypernym-,0.20930232558139536 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.38095238095238093
synset:rhd.n.01,synset:terrorist_organization.n.01	1	-instance_hypernym-_synset_domain_topic_of-,0.019230769230769232 -#- -_member_of_domain_region-member_of_domain_region-instance_hypernym-,0.8461538461538461 -#- -_member_of_domain_region-member_of_domain_region-synset_domain_topic_of-_synset_domain_topic_of-instance_hypernym-,0.963855421686747
synset:cadiz.n.01,synset:urban_center.n.01	1	-_has_part-has_part-instance_hypernym-,0.5454545454545454 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-instance_hypernym-,0.47540983606557374 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.4807692307692308
synset:eindhoven.n.01,synset:urban_center.n.01	1	-_has_part-has_part-instance_hypernym-,0.4351145038167939 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-instance_hypernym-,0.42857142857142855 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.49333333333333335
synset:nova_lisboa.n.01,synset:urban_center.n.01	1	-_has_part-has_part-instance_hypernym-,0.0962962962962963 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-instance_hypernym-,0.13924050632911392 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.17567567567567569
synset:santa_ana.n.03,synset:pass.n.04	-1	-_has_part-has_part-instance_hypernym-,0.02631578947368421 -#- -_has_part-has_part-instance_hypernym-_instance_hypernym-instance_hypernym-,0.08163265306122448 -#- -_has_part-has_part-_has_part-has_part-instance_hypernym-,0.041666666666666664
