|film|film|runtime.|film|film_cut|film_release_region	|film|film
|sports|sports_team|sport	|sports|sports_team
|film|actor|film.|film|performance|special_performance_type	|film|actor
|film|film_distributor|films_distributed.|film|film_film_distributor_relationship|film	|film|film_distributor
|people|ethnicity|people	|people|ethnicity
|location|statistical_region|rent50_2.|measurement_unit|dated_money_value|currency	|location|statistical_region
|tv|tv_producer|programs_produced.|tv|tv_producer_term|program	|tv|tv_producer
|education|university|international_tuition.|measurement_unit|dated_money_value|currency	|education|university
|sports|sports_team_location|teams	|sports|sports_team_location
|olympics|olympic_sport|athletes.|olympics|olympic_athlete_affiliation|olympics	|olympics|olympic_sport
|base|localfood|seasonal_month|produce_available.|base|localfood|produce_availability|seasonal_months	|base|localfood|seasonal_month
|location|statistical_region|gdp_real.|measurement_unit|adjusted_money_value|adjustment_currency	|location|statistical_region
|music|group_member|membership.|music|group_membership|role	|music|group_member
|education|university|local_tuition.|measurement_unit|dated_money_value|currency	|education|university
|business|business_operation|assets.|measurement_unit|dated_money_value|currency	|business|business_operation
|people|person|profession	|people|person
|award|award_nominee|award_nominations.|award|award_nomination|award	|award|award_nominee
|travel|travel_destination|climate.|travel|travel_destination_monthly_climate|month	|travel|travel_destination
|award|award_nominated_work|award_nominations.|award|award_nomination|nominated_for	|award|award_nominated_work
|award|award_winner|awards_won.|award|award_honor|award_winner	|award|award_winner
|location|country|second_level_divisions	|location|country
|education|educational_institution|school_type	|education|educational_institution
|film|film|executive_produced_by	|film|film
|organization|organization_founder|organizations_founded	|organization|organization_founder
|award|award_category|disciplines_or_subjects	|award|award_category
|government|legislative_session|members.|government|government_position_held|legislative_sessions	|government|legislative_session
|soccer|football_team|current_roster.|sports|sports_team_roster|position	|soccer|football_team
|film|film|featured_film_locations	|film|film
|olympics|olympic_sport|athletes.|olympics|olympic_athlete_affiliation|country	|olympics|olympic_sport
|film|film|country	|film|film
|olympics|olympic_participating_country|medals_won.|olympics|olympic_medal_honor|medal	|olympics|olympic_participating_country
|base|popstra|celebrity|friendship.|base|popstra|friendship|participant	|base|popstra|celebrity
|film|film|written_by	|film|film
|tv|tv_program|program_creator	|tv|tv_program
|military|military_combatant|military_conflicts.|military|military_combatant_group|combatants	|military|military_combatant
|film|film|dubbing_performances.|film|dubbing_performance|actor	|film|film
|film|film|film_festivals	|film|film
|film|film_set_designer|film_sets_designed	|film|film_set_designer
|music|instrument|instrumentalists	|music|instrument
|location|country|form_of_government	|location|country
|american_football|football_team|current_roster.|sports|sports_team_roster|position	|american_football|football_team
|business|job_title|people_with_this_title.|business|employment_tenure|company	|business|job_title
|tv|tv_program|genre	|tv|tv_program
|award|hall_of_fame|inductees.|award|hall_of_fame_induction|inductee	|award|hall_of_fame
|people|person|languages	|people|person
|tv|tv_producer|programs_produced.|tv|tv_producer_term|producer_type	|tv|tv_producer
|ice_hockey|hockey_team|current_roster.|sports|sports_team_roster|position	|ice_hockey|hockey_team
|base|eating|practicer_of_diet|diet	|base|eating|practicer_of_diet
|location|us_county|county_seat	|location|us_county
|education|educational_degree|people_with_this_degree.|education|education|major_field_of_study	|education|educational_degree
|base|popstra|celebrity|dated.|base|popstra|dated|participant	|base|popstra|celebrity
|tv|tv_personality|tv_regular_appearances.|tv|tv_regular_personal_appearance|program	|tv|tv_personality
|music|artist|origin	|music|artist
|organization|organization|headquarters.|location|mailing_address|country	|organization|organization
|user|ktrueman|default_domain|international_organization|member_states	|user|ktrueman|default_domain|international_organization
|award|award_category|category_of	|award|award_category
|music|artist|contribution.|music|recording_contribution|performance_role	|music|artist
|celebrities|celebrity|celebrity_friends.|celebrities|friendship|friend	|celebrities|celebrity
|base|schemastaging|organization_extra|phone_number.|base|schemastaging|phone_sandbox|service_language	|base|schemastaging|organization_extra
|base|x2010fifaworldcupsouthafrica|world_cup_squad|current_world_cup_squad.|base|x2010fifaworldcupsouthafrica|current_world_cup_squad|current_club	|base|x2010fifaworldcupsouthafrica|world_cup_squad
|olympics|olympic_games|participating_countries	|olympics|olympic_games
|film|director|film	|film|director
|organization|organization|place_founded	|organization|organization
|location|location|contains	|location|location
|soccer|football_team|current_roster.|soccer|football_roster_position|position	|soccer|football_team
|people|person|places_lived.|people|place_lived|location	|people|person
|food|food|nutrients.|food|nutrition_fact|nutrient	|food|food
|base|popstra|celebrity|canoodled.|base|popstra|canoodled|participant	|base|popstra|celebrity
|sports|sports_position|players.|sports|sports_team_roster|position	|sports|sports_position
|sports|sports_league_draft|picks.|sports|sports_league_draft_pick|school	|sports|sports_league_draft
|people|deceased_person|place_of_burial	|people|deceased_person
|location|hud_county_place|place	|location|hud_county_place
|music|instrument|family	|music|instrument
|soccer|football_player|current_team.|sports|sports_team_roster|team	|soccer|football_player
|base|saturdaynightlive|snl_cast_member|seasons.|base|saturdaynightlive|snl_season_tenure|cast_members	|base|saturdaynightlive|snl_cast_member
|education|educational_degree|people_with_this_degree.|education|education|student	|education|educational_degree
|base|aareas|schema|administrative_area|administrative_area_type	|base|aareas|schema|administrative_area
|award|award_winning_work|awards_won.|award|award_honor|award_winner	|award|award_winning_work
|music|performance_role|regular_performances.|music|group_membership|role	|music|performance_role
|user|tsegaran|random|taxonomy_subject|entry.|user|tsegaran|random|taxonomy_entry|taxonomy	|user|tsegaran|random|taxonomy_subject
|film|film|genre	|film|film
|film|film_subject|films	|film|film_subject
|sports|professional_sports_team|draft_picks.|sports|sports_league_draft_pick|school	|sports|professional_sports_team
|olympics|olympic_participating_country|athletes.|olympics|olympic_athlete_affiliation|olympics	|olympics|olympic_participating_country
|sports|sports_position|players.|sports|sports_team_roster|team	|sports|sports_position
|music|performance_role|guest_performances.|music|recording_contribution|performance_role	|music|performance_role
|film|film|edited_by	|film|film
|dataworld|gardening_hint|split_to	|dataworld|gardening_hint
|olympics|olympic_games|medals_awarded.|olympics|olympic_medal_honor|medal	|olympics|olympic_games
|location|hud_foreclosure_area|estimated_number_of_mortgages.|measurement_unit|dated_integer|source	|location|hud_foreclosure_area
|people|person|spouse_s.|people|marriage|type_of_union	|people|person
|travel|travel_destination|how_to_get_here.|travel|transportation|mode_of_transportation	|travel|travel_destination
|time|event|instance_of_recurring_event	|time|event
|base|schemastaging|person_extra|net_worth.|measurement_unit|dated_money_value|currency	|base|schemastaging|person_extra
|education|university|fraternities_and_sororities	|education|university
|award|award_winning_work|awards_won.|award|award_honor|honored_for	|award|award_winning_work
|location|location|partially_contains	|location|location
|people|deceased_person|place_of_death	|people|deceased_person
|education|educational_institution_campus|educational_institution	|education|educational_institution_campus
|base|popstra|celebrity|breakup.|base|popstra|breakup|participant	|base|popstra|celebrity
|location|location|adjoin_s.|location|adjoining_relationship|adjoins	|location|location
|government|government_office_category|officeholders.|government|government_position_held|jurisdiction_of_office	|government|government_office_category
|film|film|personal_appearances.|film|personal_film_appearance|person	|film|film
|film|film|film_format	|film|film
|people|cause_of_death|people	|people|cause_of_death
|education|university|domestic_tuition.|measurement_unit|dated_money_value|currency	|education|university
|government|governmental_body|members.|government|government_position_held|legislative_sessions	|government|governmental_body
|film|actor|dubbing_performances.|film|dubbing_performance|language	|film|actor
|award|award_category|winners.|award|award_honor|ceremony	|award|award_category
